"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",1,0.86318635133611,0.838574759231684,0.895048094358579,0.75160495359197,0.787332584173152,0.906792628513262,0.807988725409786,0.681152319690462,0.791297800586782,0.814275331370197,0.840727441147163,0.798256997240457,0.738444969613139,0.745346435873173,0.599676922694771,0.759201416756371,0.779365746568896,0.875442818448469,0.836820410045757,0.859504144286456,0.879706556101847,0.7999742209003,0.80789504413782,0.818257320123613,0.887360878104225,0.877201972894756,0.847653407057728,0.845131178189092,0.880543528356842,0.877978408473287,0.797967501617791,0.812533895439904,0.820735012218246,0.822532648517564,0.855787650311272,0.875502652846129,0.833725245865364,0.867598110595516,0.600449726880226
"2",0.86318635133611,1,0.811840063746192,0.861164299946044,0.688092602103257,0.751022897793306,0.905863839655351,0.818598822858537,0.645383331774512,0.764872477936994,0.783261435753626,0.826287181189983,0.769935490976603,0.738157057797471,0.735858344774362,0.574037321132319,0.743636472624257,0.808343175031337,0.867674899887709,0.835605123141988,0.82499707916192,0.868305051805976,0.732786929948878,0.765266588985406,0.8213937687444,0.892843068349275,0.886757869346821,0.841039652984422,0.848790591531467,0.86862121705682,0.862246299634245,0.815641503812494,0.767356039529337,0.804306836436549,0.823945105850316,0.842713754695657,0.864877110887529,0.800483638039155,0.850582340284908,0.61408287710385
"3",0.838574759231684,0.811840063746192,1,0.839227629133228,0.730504517439463,0.70871324008973,0.852752700619462,0.740689929221124,0.639637447614517,0.770030627025546,0.780412547244112,0.762763941066006,0.77383278432547,0.712341057840611,0.725796501351312,0.505336652819958,0.678603498330082,0.756599429741833,0.811064924074003,0.786231273526427,0.782331798072131,0.822677366805716,0.716143552533203,0.760115886460119,0.758355902189428,0.822072052273425,0.847851221337029,0.79561733817478,0.78469330016103,0.809548409858569,0.823954040335885,0.776998492891093,0.76035803323122,0.754117183954605,0.761614660673302,0.804037530192106,0.819665779183585,0.766726531166958,0.827512491121434,0.613981334570839
"4",0.895048094358579,0.861164299946044,0.839227629133228,1,0.761067572989048,0.781403793818997,0.922147430728339,0.818215882219231,0.669548595611183,0.775247211070066,0.854293245189702,0.842868845505118,0.811903281461433,0.758029784481673,0.715741961042031,0.607542222684412,0.743758476352087,0.834934378278517,0.899182745730994,0.867714009757882,0.836010846990445,0.895494014073322,0.78422650745241,0.810998492032109,0.838887735848967,0.906779682045978,0.89396742108207,0.866399853878818,0.867833175597005,0.901362765224646,0.888227235678007,0.815736764083486,0.830904909606755,0.830409287462882,0.834450133105215,0.849146913295417,0.86825355414384,0.817130275726517,0.879153936290666,0.639610028969817
"5",0.75160495359197,0.688092602103257,0.730504517439463,0.761067572989048,1,0.697138741002229,0.760955371165215,0.739664711170682,0.518907666505143,0.691862076923249,0.710230950601331,0.732592780448093,0.67050483896268,0.696249993054065,0.627656510658651,0.519043696301249,0.662871819507775,0.676926712094717,0.736575783854919,0.707871794947059,0.716732934821281,0.739698743815179,0.637034123133012,0.65390914095951,0.704639057955858,0.763310924582541,0.750602519689317,0.712150312500365,0.737200224766481,0.745484565958816,0.739500243979581,0.687646193044555,0.725655533402632,0.686389067227398,0.6683031916121,0.762161104360253,0.757231696977375,0.673866504013848,0.733833307499045,0.54369608344845
"6",0.787332584173152,0.751022897793306,0.70871324008973,0.781403793818997,0.697138741002229,1,0.783223937374803,0.829390466624537,0.606642490054804,0.668408057022344,0.835629540506435,0.804910566051496,0.698356737664541,0.662100702678506,0.640272732254534,0.521782240134218,0.736856009379897,0.760625897633135,0.779939223238708,0.764135026764289,0.7340772817951,0.757857552416313,0.650375253287302,0.671548832662305,0.709502808392977,0.776034822621117,0.767752004808615,0.711964431272066,0.752734510051616,0.758628006260162,0.790319982636084,0.712875380629942,0.69237158740009,0.68372280980672,0.73001029739742,0.76017245864003,0.771050915573957,0.744067055659603,0.749901565641792,0.580026625003971
"7",0.906792628513262,0.905863839655351,0.852752700619462,0.922147430728339,0.760955371165215,0.783223937374803,1,0.841407533981832,0.686873849129288,0.78927159407075,0.846334554641345,0.87230657459224,0.829827684465429,0.760384304908726,0.729353761359527,0.620974105947513,0.772279991909034,0.832950287621357,0.909772081869506,0.882658040860012,0.871752441126708,0.926508209627953,0.783578425763678,0.808048129367824,0.853510538733716,0.936350384127769,0.933015785157788,0.883605527890699,0.895929669919035,0.921004224952883,0.91194850162642,0.84152657519069,0.837088500167542,0.858746635716509,0.852631717248796,0.879861343080757,0.899047161394326,0.817672760184178,0.894833851919677,0.64188880367576
"8",0.807988725409786,0.818598822858537,0.740689929221124,0.818215882219231,0.739664711170682,0.829390466624537,0.841407533981832,1,0.592383192616068,0.759633680021402,0.836430386447155,0.81651007265333,0.766703744189254,0.688442048989675,0.660944540943052,0.552515430964075,0.743502298266112,0.771428720095687,0.817225352981949,0.785330122693745,0.778401424393625,0.80914304922325,0.685517225116496,0.69914498315272,0.756712060075639,0.821036613227103,0.822055757929295,0.78581952673327,0.793983188314449,0.792830563824102,0.801472181789158,0.727256109239482,0.74731564701757,0.723064703666312,0.75178018288137,0.789811033798327,0.804337179225364,0.745507627846743,0.779744095497806,0.5726390482593
"9",0.681152319690462,0.645383331774512,0.639637447614517,0.669548595611183,0.518907666505143,0.606642490054804,0.686873849129288,0.592383192616068,1,0.574621800222059,0.608699981686806,0.653605943917356,0.565261207480549,0.584814866136692,0.585189739937355,0.43773693486435,0.59827426717253,0.583660541256394,0.666796492006222,0.676687212531551,0.575939404598477,0.6588353684665,0.530241036006343,0.560385537964121,0.613487207830488,0.670686854725117,0.662867624676116,0.668613879915045,0.632816877847596,0.671300732917722,0.681149539290665,0.629039103409095,0.614015178902274,0.629620352061549,0.669551781473523,0.627045406534421,0.649690430342894,0.61325599968807,0.627100203001479,0.467926813433122
"10",0.791297800586782,0.764872477936994,0.770030627025546,0.775247211070066,0.691862076923249,0.668408057022344,0.78927159407075,0.759633680021402,0.574621800222059,1,0.73975984553972,0.679899743772187,0.700292581504219,0.693350364990105,0.69378059767356,0.552976485614178,0.631843441333435,0.71837149109115,0.735516113215483,0.745490928936272,0.717137899965881,0.760145171713789,0.661439356282179,0.664869794864108,0.706937345609057,0.77976646963257,0.764347508567663,0.745585182701741,0.747987278370726,0.740665840880717,0.755774812078962,0.669516553130228,0.695990191994425,0.716905805322036,0.719348716538615,0.728954496615832,0.732771934159459,0.731705798493946,0.735044637993494,0.555369529646707
